date,state,trend_score
2017-01-01,California,27.94411177644711
2017-01-08,California,27.94411177644711
2017-01-15,California,27.94411177644711
2017-01-22,California,27.94411177644711
2017-01-29,California,20.958083832335333
2017-02-05,California,20.958083832335333
2017-02-12,California,20.958083832335333
2017-02-19,California,20.958083832335333
2017-02-26,California,20.958083832335333
2017-03-05,California,27.94411177644711
2017-03-12,California,20.958083832335333
2017-03-19,California,20.958083832335333
2017-03-26,California,20.958083832335333
2017-04-02,California,20.958083832335333
2017-04-09,California,20.958083832335333
2017-04-16,California,20.958083832335333
2017-04-23,California,20.958083832335333
2017-04-30,California,20.958083832335333
2017-05-07,California,20.958083832335333
2017-05-14,California,20.958083832335333
2017-05-21,California,20.958083832335333
2017-05-28,California,20.958083832335333
2017-06-04,California,20.958083832335333
2017-06-11,California,20.958083832335333
2017-06-18,California,20.958083832335333
2017-06-25,California,20.958083832335333
2017-07-02,California,20.958083832335333
2017-07-09,California,20.958083832335333
2017-07-16,California,13.972055888223554
2017-07-23,California,20.958083832335333
2017-07-30,California,20.958083832335333
2017-08-06,California,20.958083832335333
2017-08-13,California,20.958083832335333
2017-08-20,California,20.958083832335333
2017-08-27,California,20.958083832335333
2017-09-03,California,20.958083832335333
2017-09-10,California,20.958083832335333
2017-09-17,California,13.972055888223554
2017-09-24,California,20.958083832335333
2017-10-01,California,13.972055888223554
2017-10-08,California,13.972055888223554
2017-10-15,California,20.958083832335333
2017-10-22,California,13.972055888223554
2017-10-29,California,13.972055888223554
2017-11-05,California,13.972055888223554
2017-11-12,California,27.94411177644711
2017-11-19,California,13.972055888223554
2017-11-26,California,20.958083832335333
2017-12-03,California,20.958083832335333
2017-12-10,California,20.958083832335333
2017-12-17,California,20.958083832335333
2017-12-24,California,20.958083832335333
2017-12-31,California,27.94411177644711
2018-01-07,California,27.94411177644711
2018-01-14,California,20.958083832335333
2018-01-21,California,20.958083832335333
2018-01-28,California,20.958083832335333
2018-02-04,California,20.958083832335333
2018-02-11,California,6.986027944111777
2018-02-18,California,13.972055888223554
2018-02-25,California,20.958083832335333
2018-03-04,California,13.972055888223554
2018-03-11,California,20.958083832335333
2018-03-18,California,20.958083832335333
2018-03-25,California,20.958083832335333
2018-04-01,California,20.958083832335333
2018-04-08,California,20.958083832335333
2018-04-15,California,20.958083832335333
2018-04-22,California,13.972055888223554
2018-04-29,California,20.958083832335333
2018-05-06,California,13.972055888223554
2018-05-13,California,20.958083832335333
2018-05-20,California,20.958083832335333
2018-05-27,California,20.958083832335333
2018-06-03,California,20.958083832335333
2018-06-10,California,27.94411177644711
2018-06-17,California,20.958083832335333
2018-06-24,California,20.958083832335333
2018-07-01,California,20.958083832335333
2018-07-08,California,20.958083832335333
2018-07-15,California,20.958083832335333
2018-07-22,California,13.972055888223554
2018-07-29,California,20.958083832335333
2018-08-05,California,20.958083832335333
2018-08-12,California,20.958083832335333
2018-08-19,California,20.958083832335333
2018-08-26,California,20.958083832335333
2018-09-02,California,20.958083832335333
2018-09-09,California,13.972055888223554
2018-09-16,California,20.958083832335333
2018-09-23,California,20.958083832335333
2018-09-30,California,20.958083832335333
2018-10-07,California,13.972055888223554
2018-10-14,California,20.958083832335333
2018-10-21,California,20.958083832335333
2018-10-28,California,13.972055888223554
2018-11-04,California,20.958083832335333
2018-11-11,California,20.958083832335333
2018-11-18,California,13.972055888223554
2018-11-25,California,27.94411177644711
2018-12-02,California,20.958083832335333
2018-12-09,California,20.958083832335333
2018-12-16,California,20.958083832335333
2018-12-23,California,13.972055888223554
2018-12-30,California,27.94411177644711
2019-01-06,California,34.930139720558884
2019-01-13,California,34.930139720558884
2019-01-20,California,27.94411177644711
2019-01-27,California,27.94411177644711
2019-02-03,California,27.94411177644711
2019-02-10,California,27.94411177644711
2019-02-17,California,27.94411177644711
2019-02-24,California,20.958083832335333
2019-03-03,California,20.958083832335333
2019-03-10,California,20.958083832335333
2019-03-17,California,20.958083832335333
2019-03-24,California,20.958083832335333
2019-03-31,California,20.958083832335333
2019-04-07,California,20.958083832335333
2019-04-14,California,20.958083832335333
2019-04-21,California,20.958083832335333
2019-04-28,California,20.958083832335333
2019-05-05,California,20.958083832335333
2019-05-12,California,20.958083832335333
2019-05-19,California,20.958083832335333
2019-05-26,California,20.958083832335333
2019-06-02,California,27.94411177644711
2019-06-09,California,20.958083832335333
2019-06-16,California,20.958083832335333
2019-06-23,California,20.958083832335333
2019-06-30,California,13.972055888223554
2019-07-07,California,20.958083832335333
2019-07-14,California,20.958083832335333
2019-07-21,California,20.958083832335333
2019-07-28,California,20.958083832335333
2019-08-04,California,20.958083832335333
2019-08-11,California,20.958083832335333
2019-08-18,California,20.958083832335333
2019-08-25,California,20.958083832335333
2019-09-01,California,13.972055888223554
2019-09-08,California,20.958083832335333
2019-09-15,California,13.972055888223554
2019-09-22,California,20.958083832335333
2019-09-29,California,20.958083832335333
2019-10-06,California,20.958083832335333
2019-10-13,California,20.958083832335333
2019-10-20,California,13.972055888223554
2019-10-27,California,20.958083832335333
2019-11-03,California,20.958083832335333
2019-11-10,California,20.958083832335333
2019-11-17,California,13.972055888223554
2019-11-24,California,13.972055888223554
2019-12-01,California,27.94411177644711
2019-12-08,California,13.972055888223554
2019-12-15,California,20.958083832335333
2019-12-22,California,20.958083832335333
2019-12-29,California,20.958083832335333
2020-01-05,California,20.958083832335333
2020-01-12,California,20.958083832335333
2020-01-19,California,20.958083832335333
2020-01-26,California,20.958083832335333
2020-02-02,California,20.958083832335333
2020-02-09,California,20.958083832335333
2020-02-16,California,20.958083832335333
2020-02-23,California,20.958083832335333
2020-03-01,California,20.958083832335333
2020-03-08,California,48.90219560878244
2020-03-15,California,670.6586826347307
2020-03-22,California,698.6027944111777
2020-03-29,California,663.6726546906189
2020-04-05,California,502.99401197604794
2020-04-12,California,509.98003992015975
2020-04-19,California,370.2594810379242
2020-04-26,California,363.2734530938124
2020-05-03,California,279.4411177644711
2020-05-10,California,258.48303393213575
2020-05-17,California,223.55289421157687
2020-05-24,California,181.6367265469062
2020-05-31,California,153.6926147704591
2020-06-07,California,146.70658682634732
2020-06-14,California,139.72055888223554
2020-06-21,California,153.6926147704591
2020-06-28,California,174.65069860279442
2020-07-05,California,153.6926147704591
2020-07-12,California,153.6926147704591
2020-07-19,California,146.70658682634732
2020-07-26,California,139.72055888223554
2020-08-02,California,97.80439121756488
2020-08-09,California,104.79041916167665
2020-08-16,California,83.83233532934133
2020-08-23,California,69.86027944111777
2020-08-30,California,76.84630738522955
2020-09-06,California,69.86027944111777
2020-09-13,California,69.86027944111777
2020-09-20,California,48.90219560878244
2020-09-27,California,48.90219560878244
2020-10-04,California,55.88822355289422
2020-10-11,California,48.90219560878244
2020-10-18,California,48.90219560878244
2020-10-25,California,41.91616766467067
2020-11-01,California,34.930139720558884
2020-11-08,California,41.91616766467067
2020-11-15,California,48.90219560878244
2020-11-22,California,41.91616766467067
2020-11-29,California,55.88822355289422
2020-12-06,California,69.86027944111777
2020-12-13,California,69.86027944111777
2020-12-20,California,62.87425149700599
2020-12-27,California,83.83233532934133
2021-01-03,California,118.76247504990022
2021-01-10,California,83.83233532934133
2021-01-17,California,69.86027944111777
2021-01-24,California,69.86027944111777
2021-01-31,California,55.88822355289422
2021-02-07,California,62.87425149700599
2021-02-14,California,55.88822355289422
2021-02-21,California,48.90219560878244
2021-02-28,California,55.88822355289422
2021-03-07,California,76.84630738522955
2021-03-14,California,55.88822355289422
2021-03-21,California,55.88822355289422
2021-03-28,California,62.87425149700599
2021-04-04,California,62.87425149700599
2021-04-11,California,41.91616766467067
2021-04-18,California,55.88822355289422
2021-04-25,California,48.90219560878244
2021-05-02,California,48.90219560878244
2021-05-09,California,55.88822355289422
2021-05-16,California,41.91616766467067
2021-05-23,California,34.930139720558884
2021-05-30,California,34.930139720558884
2021-06-06,California,41.91616766467067
2021-06-13,California,34.930139720558884
2021-06-20,California,27.94411177644711
2021-06-27,California,27.94411177644711
2021-07-04,California,27.94411177644711
2021-07-11,California,34.930139720558884
2021-07-18,California,20.958083832335333
2021-07-25,California,27.94411177644711
2021-08-08,California,27.94411177644711
2021-08-15,California,27.94411177644711
2021-08-22,California,27.94411177644711
2021-08-29,California,27.94411177644711
2021-09-05,California,34.930139720558884
2021-09-12,California,20.958083832335333
2021-09-19,California,20.958083832335333
2021-09-26,California,27.94411177644711
2021-10-03,California,20.958083832335333
2021-10-10,California,20.958083832335333
2021-10-17,California,20.958083832335333
2021-10-24,California,20.958083832335333
2021-10-31,California,20.958083832335333
2021-11-07,California,13.972055888223554
2021-11-14,California,20.958083832335333
2021-11-21,California,20.958083832335333
2021-11-28,California,20.958083832335333
2021-12-05,California,20.958083832335333
2021-12-12,California,13.972055888223554
2021-12-19,California,13.972055888223554
2021-12-26,California,20.958083832335333
2021-01-01,California,100.0
2021-02-01,California,61.0
2021-03-01,California,73.0
2021-04-01,California,59.0
2021-05-01,California,49.0
2021-06-01,California,41.0
2021-07-01,California,33.0
2021-08-01,California,35.0
2021-09-01,California,29.0
2021-10-01,California,25.0
2021-11-01,California,22.0
2021-12-01,California,21.0
2022-01-01,California,31.0
2022-02-01,California,27.0
2022-03-01,California,21.0
2022-04-01,California,27.0
2022-05-01,California,20.0
2022-06-01,California,22.0
2022-07-01,California,23.0
2022-08-01,California,22.0
2022-09-01,California,20.0
2022-10-01,California,22.0
2022-11-01,California,20.0
2022-12-01,California,22.0
2023-01-01,California,33.0
2023-02-01,California,28.0
2023-03-01,California,26.0
2023-04-01,California,26.0
2023-05-01,California,29.0
2023-06-01,California,28.0
2023-07-01,California,29.0
2023-08-01,California,27.0
2023-09-01,California,26.0
2023-10-01,California,26.0
