date,trend_score
2017-01-01,0.0
2017-01-08,0.0
2017-01-15,0.0
2017-01-22,0.0
2017-01-29,0.0
2017-02-05,0.0
2017-02-12,0.0
2017-02-19,0.0
2017-02-26,0.0
2017-03-05,0.0
2017-03-12,0.0
2017-03-19,0.0
2017-03-26,0.0
2017-04-02,0.0
2017-04-09,0.0
2017-04-16,0.0
2017-04-23,6.444684806392507
2017-04-30,0.0
2017-05-07,0.0
2017-05-14,0.0
2017-05-21,0.0
2017-05-28,0.0
2017-06-04,0.0
2017-06-11,0.0
2017-06-18,0.0
2017-06-25,0.0
2017-07-02,0.0
2017-07-09,0.0
2017-07-16,0.0
2017-07-23,0.0
2017-07-30,0.0
2017-08-06,0.0
2017-08-13,0.0
2017-08-20,0.0
2017-08-27,0.0
2017-09-03,0.0
2017-09-10,0.0
2017-09-17,0.0
2017-09-24,0.0
2017-10-01,0.0
2017-10-08,0.0
2017-10-15,0.0
2017-10-22,0.0
2017-10-29,0.0
2017-11-05,0.0
2017-11-12,0.0
2017-11-19,0.0
2017-11-26,0.0
2017-12-03,0.0
2017-12-10,0.0
2017-12-17,0.0
2017-12-24,0.0
2017-12-31,0.0
2018-01-07,0.0
2018-01-14,0.0
2018-01-21,0.0
2018-01-28,0.0
2018-02-04,0.0
2018-02-11,0.0
2018-02-18,0.0
2018-02-25,0.0
2018-03-04,0.0
2018-03-11,0.0
2018-03-18,0.0
2018-03-25,0.0
2018-04-01,0.0
2018-04-08,0.0
2018-04-15,0.0
2018-04-22,0.0
2018-04-29,0.0
2018-05-06,0.0
2018-05-13,0.0
2018-05-20,0.0
2018-05-27,0.0
2018-06-03,0.0
2018-06-10,0.0
2018-06-17,0.0
2018-06-24,0.0
2018-07-01,0.0
2018-07-08,0.0
2018-07-15,0.0
2018-07-22,0.0
2018-07-29,0.0
2018-08-05,0.0
2018-08-12,0.0
2018-08-19,0.0
2018-08-26,0.0
2018-09-02,0.0
2018-09-09,0.0
2018-09-16,0.0
2018-09-23,0.0
2018-09-30,0.0
2018-10-07,0.0
2018-10-14,0.0
2018-10-21,0.0
2018-10-28,0.0
2018-11-04,0.0
2018-11-11,0.0
2018-11-18,0.0
2018-11-25,0.0
2018-12-02,0.0
2018-12-09,0.0
2018-12-16,0.0
2018-12-23,0.0
2018-12-30,0.0
2019-01-06,0.0
2019-01-13,0.0
2019-01-20,0.0
2019-01-27,0.0
2019-02-03,0.0
2019-02-10,0.0
2019-02-17,0.0
2019-02-24,0.0
2019-03-03,0.0
2019-03-10,0.0
2019-03-17,0.0
2019-03-24,0.0
2019-03-31,0.0
2019-04-07,0.0
2019-04-14,0.0
2019-04-21,0.0
2019-04-28,0.0
2019-05-05,0.0
2019-05-12,0.0
2019-05-19,0.0
2019-05-26,6.444684806392507
2019-06-02,0.0
2019-06-09,0.0
2019-06-16,0.0
2019-06-23,0.0
2019-06-30,0.0
2019-07-07,0.0
2019-07-14,0.0
2019-07-21,0.0
2019-07-28,0.0
2019-08-04,0.0
2019-08-11,0.0
2019-08-18,0.0
2019-08-25,0.0
2019-09-01,0.0
2019-09-08,0.0
2019-09-15,0.0
2019-09-22,0.0
2019-09-29,0.0
2019-10-06,0.0
2019-10-13,6.444684806392507
2019-10-20,0.0
2019-10-27,0.0
2019-11-03,0.0
2019-11-10,0.0
2019-11-17,0.0
2019-11-24,5.155747845114005
2019-12-01,0.0
2019-12-08,0.0
2019-12-15,7.733621767671007
2019-12-22,0.0
2019-12-29,0.0
2020-01-05,0.0
2020-01-12,0.0
2020-01-19,6.0772232501095065
2020-01-26,0.0
2020-02-02,0.0
2020-02-09,6.0772232501095065
2020-02-16,0.0
2020-02-23,0.0
2020-03-01,0.0
2020-03-08,7.596529062636883
2020-03-15,147.37266381515553
2020-03-22,151.93058125273765
2020-03-29,151.93058125273765
2020-04-05,106.35140687691636
2020-04-12,115.46724175208062
2020-04-19,91.15834875164259
2020-04-26,65.3301499386772
2020-05-03,56.214315063512935
2020-05-10,63.81084412614982
2020-05-17,51.65639762593081
2020-05-24,47.098480188348674
2020-05-31,33.42472787560229
2020-06-07,33.42472787560229
2020-06-14,31.90542206307491
2020-06-21,30.38611625054753
2020-06-28,33.42472787560229
2020-07-05,34.944033688129664
2020-07-12,28.866810438020156
2020-07-19,27.34750462549278
2020-07-26,22.789587187910648
2020-08-02,22.789587187910648
2020-08-09,18.23166975032852
2020-08-16,19.750975562855896
2020-08-23,16.712363937801143
2020-08-30,16.712363937801143
2020-09-06,15.193058125273765
2020-09-13,15.193058125273765
2020-09-20,18.23166975032852
2020-09-27,18.23166975032852
2020-10-04,16.712363937801143
2020-10-11,15.193058125273765
2020-10-18,16.712363937801143
2020-10-25,12.154446500219013
2020-11-01,7.596529062636883
2020-11-08,10.635140687691637
2020-11-15,12.154446500219013
2020-11-22,18.23166975032852
2020-11-29,12.154446500219013
2020-12-06,13.67375231274639
2020-12-13,12.154446500219013
2020-12-20,16.712363937801143
2020-12-27,18.23166975032852
2021-01-03,12.154446500219013
2021-01-10,18.23166975032852
2021-01-17,19.750975562855896
2021-01-24,21.270281375383274
2021-01-31,10.635140687691637
2021-02-07,10.635140687691637
2021-02-14,9.11583487516426
2021-02-21,12.154446500219013
2021-02-28,12.154446500219013
2021-03-07,10.635140687691637
2021-03-14,13.67375231274639
2021-03-21,18.23166975032852
2021-03-28,19.750975562855896
2021-04-04,9.11583487516426
2021-04-11,21.270281375383274
2021-04-18,16.712363937801143
2021-04-25,7.596529062636883
2021-05-02,12.154446500219013
2021-05-09,10.635140687691637
2021-05-16,13.67375231274639
2021-05-23,18.23166975032852
2021-05-30,7.596529062636883
2021-06-06,0.0
2021-06-13,7.596529062636883
2021-06-20,9.11583487516426
2021-06-27,7.596529062636883
2021-07-04,7.596529062636883
2021-07-11,7.596529062636883
2021-07-18,0.0
2021-07-25,13.67375231274639
2021-08-01,9.11583487516426
2021-08-08,15.193058125273765
2021-08-15,7.596529062636883
2021-08-22,0.0
2021-08-29,15.193058125273765
2021-09-05,12.154446500219013
2021-09-12,7.596529062636883
2021-09-19,9.11583487516426
2021-09-26,9.11583487516426
2021-10-03,7.596529062636883
2021-10-10,0.0
2021-10-17,0.0
2021-10-24,0.0
2021-10-31,0.0
2021-11-07,0.0
2021-11-14,0.0
2021-11-21,0.0
2021-11-28,9.11583487516426
2021-12-05,0.0
2021-12-12,0.0
2021-12-19,0.0
2021-12-26,0.0
2022-01-02,0.0
2022-01-09,0.0
2022-01-16,0.0
2022-01-23,10.635140687691637
2022-01-30,0.0
2022-02-06,7.596529062636883
2022-02-13,0.0
2022-02-20,0.0
2022-02-27,0.0
2022-03-06,0.0
2022-03-13,6.0772232501095065
2022-03-20,0.0
2022-03-27,6.0772232501095065
2022-04-03,0.0
2022-04-10,0.0
2022-04-17,6.0772232501095065
2022-04-24,0.0
2022-05-01,0.0
2022-05-08,0.0
2022-05-15,0.0
2022-05-22,0.0
2022-05-29,0.0
2022-06-05,0.0
2022-06-12,0.0
2022-06-19,0.0
2022-06-26,0.0
2022-07-03,0.0
2022-07-10,0.0
2022-07-17,0.0
2022-07-24,0.0
2022-07-31,0.0
2022-08-07,0.0
2022-08-14,6.0772232501095065
2022-08-21,0.0
2022-08-28,0.0
2022-09-04,0.0
2022-09-11,0.0
2022-09-18,0.0
2022-09-25,0.0
2022-10-02,0.0
2022-10-09,0.0
2022-10-16,0.0
2022-10-23,0.0
2022-10-30,0.0
2022-11-06,0.0
2022-11-13,0.0
2022-11-20,0.0
2022-11-27,0.0
2022-12-04,0.0
2022-12-11,0.0
2022-12-18,0.0
2022-12-25,0.0
2023-01-01,0.0
2023-01-08,0.0
2023-01-15,0.0
2023-01-22,0.0
2023-01-29,0.0
2023-02-05,0.0
2023-02-12,0.0
2023-02-19,0.0
2023-02-26,56.0
2023-03-05,0.0
2023-03-12,0.0
2023-03-19,0.0
2023-03-26,0.0
2023-04-02,0.0
2023-04-09,0.0
2023-04-16,0.0
2023-04-23,0.0
2023-04-30,0.0
2023-05-07,0.0
2023-05-14,0.0
2023-05-21,0.0
2023-05-28,0.0
2023-06-04,61.0
2023-06-11,0.0
2023-06-18,0.0
2023-06-25,0.0
2023-07-02,0.0
2023-07-09,0.0
2023-07-16,0.0
2023-07-23,79.0
2023-07-30,0.0
2023-08-06,0.0
2023-08-13,0.0
2023-08-20,0.0
2023-08-27,0.0
2023-09-03,0.0
2023-09-10,0.0
2023-09-17,0.0
2023-09-24,0.0
2023-10-01,0.0
2023-10-08,0.0
2023-10-15,0.0
2023-10-22,0.0
2023-10-29,0.0
2023-11-05,0.0
2023-11-12,0.0
2023-11-19,0.0
2023-11-26,0.0
2023-12-03,0.0
2023-12-10,79.0
2023-12-17,76.0
2023-12-24,0.0
2023-12-31,0.0
2024-01-07,0.0
2024-01-14,0.0
2024-01-21,0.0
2024-01-28,0.0
2024-02-04,73.0
2024-02-11,0.0
2024-02-18,0.0
2024-02-25,0.0
2024-03-03,0.0
2024-03-10,0.0
2024-03-17,74.0
2024-03-24,0.0
2024-03-31,69.0
2024-04-07,77.0
2024-04-14,0.0
2024-04-21,0.0
2024-04-28,0.0
2024-05-05,85.0
2024-05-12,0.0
2024-05-19,0.0
2024-05-26,0.0
2024-06-02,0.0
2024-06-09,0.0
2024-06-16,0.0
2024-06-23,0.0
2024-06-30,0.0
2024-07-07,0.0
2024-07-14,0.0
2024-07-21,0.0
2024-07-28,66.0
2024-08-04,0.0
2024-08-11,66.0
2024-08-18,0.0
2024-08-25,0.0
2024-09-01,0.0
2024-09-08,0.0
2024-09-15,0.0
2024-09-22,81.0
2024-09-29,81.0
2024-10-06,67.0
2024-10-13,0.0
2024-10-20,0.0
2024-10-27,0.0
2024-11-03,0.0
2024-11-10,0.0
2024-11-17,68.0
2024-11-24,0.0
2024-12-01,0.0
2024-12-08,0.0
2024-12-15,0.0
2024-12-22,0.0
2024-12-29,94.0
2025-01-05,0.0
2025-01-12,71.0
2025-01-19,63.0
2025-01-26,0.0
2025-02-02,0.0
2025-02-09,93.0
2025-02-16,0.0
2025-02-23,62.0
2025-03-02,62.0
2025-03-09,64.0
2025-03-16,76.0
2025-03-23,68.0
2025-03-30,0.0
2025-04-06,83.0
2025-04-13,76.0
2025-04-20,90.0
2025-04-27,0.0
2025-05-04,0.0
2025-05-11,65.0
2025-05-18,0.0
2025-05-25,84.0
2025-06-01,0.0
2025-06-08,0.0
2025-06-15,0.0
2025-06-22,0.0
2025-06-29,0.0
2025-07-06,83.0
2025-07-13,79.0
2025-07-20,0.0
2025-07-27,70.0
2025-08-03,0.0
2025-08-10,0.0
2025-08-17,0.0
2025-08-24,0.0
2025-08-31,100.0
2025-09-07,67.0
2025-09-14,72.0
2025-09-21,68.0
2025-09-28,0.0
2025-10-05,0.0
2025-10-12,72.0
2025-10-19,0.0
2025-10-26,0.0
2025-11-02,85.0
2025-11-09,0.0
2025-11-16,0.0
2025-11-23,0.0
2025-11-30,0.0
2025-12-07,0.0
2025-12-14,70.0
2025-12-21,0.0
2025-12-28,0.0
2026-01-04,0.0
2026-01-11,73.0
2026-01-18,0.0
2026-01-25,0.0
2026-02-01,72.0
2026-02-08,69.0
2026-02-15,62.0
2026-02-22,61.0
2026-03-01,0.0
2026-03-08,0.0
2026-03-15,74.0
2026-03-22,70.0
2026-03-29,0.0
2026-04-05,0.0
2026-04-12,0.0
2026-04-19,37.0
2026-04-26,40.0
